API#,Operator,Operator ID,WellType,WellName,WellNumber,Order/Permit,Approval Date,County,Sec,Twp,Rng,Q4,Q3,Q2,Q1,LAT,LONG,PSI,BBLS,GAS,MCF,ZONE
3500321561,UNIT PETROLEUM COMPANY,16711,2R,MIKE,1-8,385384,1994-08-10T00:00:00Z,ALFALFA,8,27N,10W,NA,C,SW,SE,36.82786,-98.29486,1250,4500,NA,NA,MISENER
3500321748,SAND CREEK OPERATING LLC,23210,CDW,KRAFT #1-13,1,1401960007,2013-11-06T00:00:00Z,ALFALFA,13,28N,12W,SW,NE,SW,SW,36.901215,-98.446798,500,20000,NA,NA,ARBUCKLE
3500321802,MT ENERGY LLC,24532,2R,NE CHEROKEE UNIT,16A,1007540008,2010-07-08T00:00:00Z,ALFALFA,21,27N,10W,S2,N2,NW,SW,36.802928,-98.28472,1500,2500,NA,NA,PENN BASAL CHEROKEE
3500321822,NEILSON INC,21475,CDW,BETTY JO,2,540384,2007-06-08T00:00:00Z,ALFALFA,30,27N,12W,N2,S2,N2,SW,36.787367,-98.53594,1500,3000,NA,NA,TONKAWA
3500321832,MARTIN'S RESOURCES LLC,24757,2D,MILAN,2-32,1204110191,2012-04-02T00:00:00Z,ALFALFA,32,28N,10W,SW,NW,SE,NW,36.864566,-98.30107,500,100,NA,NA,COTTAGE GROVE
3500321840,AMPLIFY OKLAHOMA OPERATING LLC,23079,2D,ALFALFA SWD,1,527050,2006-07-13T00:00:00Z,ALFALFA,28,25N,09W,NE,NE,NE,NW,36.621781,-98.172853,1500,50000,NA,NA,"1ST AND 2ND WILCOX, ARBUCKLE"
3500321848,BCE-MACH LLC,24174,2D,HDW,1-2,536661,2007-03-13T00:00:00Z,ALFALFA,2,24N,09W,SW,NE,NW,NW,36.592329,-98.13752,1500,50000,NA,NA,ARBUCKLE
3500321880,AMPLIFY OKLAHOMA OPERATING LLC,23079,2D,LEAMON,1,1609310122,2016-07-06T00:00:00Z,ALFALFA,29,26N,12W,SW,SE,SW,NW,36.703106,-98.51959,2500,19900,NA,NA,HUNTON
3500321897,BCE-MACH LLC,24174,2D,GIDEON,1-32,556249,2008-07-03T00:00:00Z,ALFALFA,32,26N,09W,NE,SW,NE,NE,36.693246,-98.184626,1500,50000,NA,NA,ARBUCKLE
3500321931,BCE-MACH LLC,24174,2D,DUTCH HARBOR SWD,1-14,1607050002,2016-04-18T00:00:00Z,ALFALFA,14,25N,12W,SE,SE,SE,SE,36.638051,-98.451166,2500,19500,NA,NA,SIMPSON
3500321961,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BAILAR SWD,1-35,1103600047,2011-01-13T00:00:00Z,ALFALFA,35,29N,12W,SE,SW,SW,SW,36.94258,-98.47106,2000,100000,NA,NA,ARBUCKLE
3500321976,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,RISITA SWD,1-27,1102650002,2010-11-18T00:00:00Z,ALFALFA,27,29N,09W,SE,SE,SE,SE,36.957094,-98.147748000000007,2000,60000,NA,NA,ARBUCKLE
3500321995,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,TIBURON SWD,1-1,1103390002,2010-12-21T00:00:00Z,ALFALFA,1,28N,09W,SW,SW,SW,SE,36.92792,-98.11822,2000,100000,NA,NA,ARBUCKLE
3500322002,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,TIBURON SWD,2-1,1103700007,2011-03-24T00:00:00Z,ALFALFA,1,28N,09W,SW,SW,SW,SE,36.9281,-98.1181,2000,60000,NA,NA,ARBUCKLE (PLUGGED OFF)
3500322006,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,GATILLO SWD,1-34,1103930063,2011-02-07T00:00:00Z,ALFALFA,34,29N,11W,NE,NE,NW,NW,36.95625,-98.37841,2000,100000,NA,NA,ARBUCKLE
3500322019,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,AQUARIUS SWD,1-22,1104340184,2011-03-10T00:00:00Z,ALFALFA,22,29N,11W,SE,NE,NE,NE,36.984541,-98.364877,2000,60000,NA,NA,ARBUCKLE
3500322023,BCE-MACH LLC,24174,2D,AMAZON SWD,1-25,1105070125,2011-04-04T00:00:00Z,ALFALFA,25,29N,10W,NE,NW,NW,NW,36.9706918,-98.2357193,2000,80000,NA,NA,ARBUCKLE
3500322024,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CLAUDE SWD,1-13,1104920073,2011-03-14T00:00:00Z,ALFALFA,13,29N,11W,SE,SE,SE,SE,36.986482,-98.3286487,2000,60000,NA,NA,ARBUCKLE
3500322026,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BETTY ELLEN SWD,1-20,1104920074,2011-03-25T00:00:00Z,ALFALFA,20,29N,09W,SW,SW,SW,SW,36.972,-98.200187,2000,100000,NA,NA,ARBUCKLE
3500322027,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CALLIE SWD,1-7,1105200172,2011-03-23T00:00:00Z,ALFALFA,7,28N,12W,NW,NE,NE,NW,36.927167,-98.532828,2000,60000,NA,NA,ARBUCKLE
3500322039,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ALLISON SWD,1-22,1106760087,2011-05-23T00:00:00Z,ALFALFA,22,29N,12W,SE,SW,SW,NW,36.9789,-98.489016,2000,60000,NA,NA,ARBUCKLE
3500322046,BCE-MACH LLC,24174,2D,NILE 14-28-12 SWD,1,1501400030,2014-10-15T00:00:00Z,ALFALFA,14,28N,12W,NE,NW,NE,NE,36.91245,-98.45291,2000,80000,NA,NA,ARBUCKLE
3500322102,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CARA SWD,1-31,1200530049,2011-09-09T00:00:00Z,ALFALFA,31,24N,10W,SW,SE,SE,SE,36.50687,-98.302872,2000,60000,NA,NA,ARBUCKLE
3500322108,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BAILEY SWD,1-1,1200530050,2011-10-10T00:00:00Z,ALFALFA,1,28N,10W,SE,NE,SE,SE,36.9322,-98.216864,2000,60000,NA,NA,ARBUCKLE
3500322133,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,FIERO SWD,2-23,1202040019,2011-11-02T00:00:00Z,ALFALFA,23,29N,09W,NW,NW,NE,NE,36.9849,-98.1333,2000,60000,NA,NA,ARBUCKLE (PLUGGED OFF)
3500322144,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,JUDY SWD,1-12,1202380140,2011-11-09T00:00:00Z,ALFALFA,12,28N,11W,NE,SE,SE,NE,36.92142,-98.324013,2000,60000,NA,NA,ARBUCKLE
3500322152,BCE-MACH LLC,24174,2D,MISSISSIPPI 14-26-12 SWD,1,1703190017,2016-12-02T00:00:00Z,ALFALFA,14,26N,12W,SW,SW,NW,SW,36.728888,-98.467545,2500,19500,NA,NA,SIMPSON
3500322157,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,SHARON SWD,2-22,1202610136,2011-12-02T00:00:00Z,ALFALFA,22,29N,10W,SE,NW,NW,NE,36.98483,-98.262853,2000,60000,NA,NA,ARBUCKLE
3500322158,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROBYN SWD,1-14,1202750065,2011-12-15T00:00:00Z,ALFALFA,14,28N,09W,SW,SW,SE,SE,36.8989,-98.1313,2000,60000,NA,NA,ARBUCKLE
3500322163,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PRESLEY SWD,1-27,1608700032,2016-07-13T00:00:00Z,ALFALFA,27,27N,11W,SE,SW,SW,SE,36.783377,-98.367034,2000,15000,NA,NA,"COTTAGE GROVE, TONKAWA"
3500322177,TRIAD ENERGY INC,10399,2D,WILLIAMS SWD,1-6,1202430030,2011-12-07T00:00:00Z,ALFALFA,6,28N,10W,NW,NE,NE,NE,36.9417,-98.3088,2000,60000,NA,NA,ARBUCKLE
3500322186,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,JUDY SWD,2-12,1203700052,2012-02-02T00:00:00Z,ALFALFA,12,28N,11W,NW,SE,SE,NE,36.9219,-98.324526,2000,60000,NA,NA,ARBUCKLE
3500322193,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROSE KELLY SWD,2-3,1203950057,2012-05-07T00:00:00Z,ALFALFA,3,28N,10W,SW,SW,SE,SE,36.928439,-98.2566285,2000,60000,NA,NA,ARBUCKLE (PLUGGED OFF)
3500322212,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ASHLEY SWD,2-36,1204560024,2012-03-21T00:00:00Z,ALFALFA,36,28N,10W,SW,NE,NW,NW,36.8684329,-98.2316,2000,60000,NA,NA,ARBUCKLE
3500322228,NEILSON INC,21475,CDW,BONNIE JEAN SWD,1-22,1706400022,2017-04-14T00:00:00Z,ALFALFA,22,27N,09W,SE,SW,SW,SE,36.7974504,-98.1532071,2000,10000,NA,NA,LAYTON
3500322246,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,GATILLO SWD,2-34,1205760006,2012-04-20T00:00:00Z,ALFALFA,34,29N,11W,NW,NW,NE,NW,36.9562376,-98.3782,2000,60000,NA,NA,ARBUCKLE
3500322247,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PRESLEY SWD,2-27,1205760007,2012-05-07T00:00:00Z,ALFALFA,27,27N,11W,NE,SW,SW,SE,36.7837893,-98.36735,2000,60000,NA,NA,ARBUCKLE
3500322286,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BETTY ELLEN SWD 2909,2-20,1206950034,2012-06-18T00:00:00Z,ALFALFA,20,29N,09W,SE,SW,SW,SW,36.9719144,-98.2004,2000,60000,NA,NA,ARBUCKLE (PLUGGED OFF)
3500322302,BCE-MACH LLC,24174,2D,TIGRIS 24-24-11 SWD,1,1207420116,2012-08-28T00:00:00Z,ALFALFA,24,24N,11W,NE,SE,NE,NE,36.5478299,-98.319515,1500,50000,NA,NA,ARBUCKLE
3500322308,EAGLE EXPLORATION PRODUCTION LLC,23413,CDW,REITZ,1 SWD,1206780080,2012-08-07T00:00:00Z,ALFALFA,10,27N,11W,NW,NE,NE,NE,36.8401458,-98.3611,2000,65000,NA,NA,ARBUCKLE
3500322316,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,GRISWOLD SWD 2811,1-25,1207900010,2012-10-19T00:00:00Z,ALFALFA,25,28N,11W,NE,NW,NE,NE,36.8837588,-98.32708,2000,80000,NA,NA,ARBUCKLE
3500322317,BCE-MACH LLC,24174,2D,EUPHRATES 11-27-12 SWD,1,1207840023,2012-09-08T00:00:00Z,ALFALFA,11,27N,12W,NW,NW,NW,NW,36.8399518,-98.467038,1500,80000,NA,NA,ARBUCKLE
3500322318,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,POPPINS SWD 2810,2-21,1207900012,2012-07-10T00:00:00Z,ALFALFA,21,28N,10W,NW,SE,SE,SE,36.8853283,-98.2722998,2000,80000,NA,NA,ARBUCKLE
3500322345,CANVAS ENERGY LLC,16896,2D,WESSEL SWD,1,1302580029,2012-11-09T00:00:00Z,ALFALFA,1,26N,12W,NE,NE,NW,NW,36.76738742,-98.44635852,3000,45000,NA,NA,ARBUCKLE
3500322349,BCE-MACH LLC,24174,2D,RIO GRANDE 16-27-12 SWD,1,1300030055,2012-11-09T00:00:00Z,ALFALFA,16,27N,12W,SE,SE,SE,SE,36.8124774,-98.48648934,1500,80000,NA,NA,ARBUCKLE
3500322355,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DUSTIN SWD 2709,1-6,1300460052,2012-08-22T00:00:00Z,ALFALFA,6,27N,09W,SW,SW,SW,SW,36.84139034,-98.21583931,2000,60000,NA,NA,ARBUCKLE
3500322370,D & J OIL COMPANY INC,17713,2D,MYERS,1-34 SWD,1303920175,2013-02-20T00:00:00Z,ALFALFA,34,27N,09W,N2,NE,NW,NW,36.78140517,-98.1617,2800,25000,NA,NA,ARBUCKLE
3500322386,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MILLIE SWD 2810,1-9,1301390064,2012-10-29T00:00:00Z,ALFALFA,9,28N,10W,SE,SW,SE,SW,36.91363103,-98.28293433,2000,60000,NA,NA,ARBUCKLE
3500322390,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,LIZZIE SWD 2711,1-33,1301650032,2012-10-10T00:00:00Z,ALFALFA,33,27N,11W,NE,SE,SE,SE,36.76901637,-98.37915,2000,60000,NA,NA,ARBUCKLE
3500322409,BCE-MACH LLC,24174,2D,THAMES 33-28-9 SWD,1,1702030040,2016-10-04T00:00:00Z,ALFALFA,33,28N,09W,SE,SW,SW,SW,36.85551533,-98.1799,2500,19500,NA,NA,SIMPSON
3500322418,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROSE SWD 2810,1-26,1302360125,2012-11-09T00:00:00Z,ALFALFA,26,28N,10W,SW,NE,SE,NE,36.87908673,-98.23585211,2000,60000,NA,NA,ARBUCKLE (PLUGGED OFF)
3500322426,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,LAUREN SWD 2609,1-3,1302610092,2013-01-10T00:00:00Z,ALFALFA,3,26N,09W,NW,NE,NE,NE,36.7667933,-98.14795171,2000,60000,NA,NA,ARBUCKLE
3500322476,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MARLEY SWD 2511,1-25,1303650019,2013-02-21T00:00:00Z,ALFALFA,25,25N,11W,SE,SE,SW,SW,36.60926384,-98.33863,2000,60000,NA,NA,ARBUCKLE
3500322489,AMPLIFY OKLAHOMA OPERATING LLC,23079,2D,MURROW SWD,1-10,1305640011,2013-05-20T00:00:00Z,ALFALFA,10,26N,12W,C,SW,SW,SW,36.73999647,-98.48514,2000,40000,NA,NA,ARBUCKLE
3500322504,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,BAKER SWD 2810,1-20,1304080062,2013-03-04T00:00:00Z,ALFALFA,20,28N,10W,NA,NE,SE,NE,36.8949285,-98.2899088,2000,80000,NA,NA,ARBUCKLE
3500322521,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,CLARK W SWD 2811,1-27,1304370154,2013-03-27T00:00:00Z,ALFALFA,27,28N,11W,NE,SW,SE,SW,36.87102003,-98.3717,2000,80000,NA,NA,ARBUCKLE
3500322523,BCE-MACH LLC,24174,2D,CLAY 7-25-10 SWD,1,1304190110,2013-05-06T00:00:00Z,ALFALFA,7,25N,10W,SE,SW,SW,SW,36.65266318,-98.3236,1500,80000,NA,NA,ARBUCKLE
3500322524,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,ROSE SWD 2810,2-26,1304370153,2013-04-23T00:00:00Z,ALFALFA,26,28N,10W,NA,NE,SE,NE,36.87867466,-98.23587,2000,80000,NA,NA,ARBUCKLE
3500322540,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DIAMONDBACK SWD 2710,1-5,1304690095,2013-06-03T00:00:00Z,ALFALFA,5,27N,10W,NA,NE,NE,NE,36.85429598,-98.28994602,2000,80000,NA,NA,ARBUCKLE
3500322548,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,COTTONWOOD SWD 2411,1-19,1304800029,2013-04-25T00:00:00Z,ALFALFA,19,24N,11W,S2,SE,SE,SW,36.53631299,-98.41876,2000,60000,NA,NA,ARBUCKLE
3500322551,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,FIONA SWD 2610,1-5,1304910040,2013-06-19T00:00:00Z,ALFALFA,5,16N,10W,SE,NE,NE,NW,36.76675495,-98.29877574,2000,60000,NA,NA,ARBUCKLE
3500322560,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DUSTIN SWD 2709,2-6,1305020144,2013-05-10T00:00:00Z,ALFALFA,6,27N,09W,NW,SW,SW,SW,36.84180234,-98.21583748,2000,60000,NA,NA,ARBUCKLE
3500322600,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MIGUEL SWD 2611,1-9,1305860066,2013-07-01T00:00:00Z,ALFALFA,9,26N,11W,NA,NE,NE,SE,36.74570348,-98.37932,2000,80000,NA,NA,ARBUCKLE
3500322603,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,CROWDER 2610,2-5H,1505970072,2015-04-24T00:00:00Z,ALFALFA,5,26N,10W,NA,NW,NW,NE,36.76725,-98.29698,1000,14000,NA,NA,MISSISSIPPIAN
3500322623,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PHIN SWD 2811,1-11,1306350029,2013-07-02T00:00:00Z,ALFALFA,11,28N,11W,SW,SE,SE,SW,36.91410872,-98.35258,2000,80000,NA,NA,ARBUCKLE
3500322651,BCE-MACH LLC,24174,2D,PULLER 7-26-10 SWD,1,1306840001,2013-08-30T00:00:00Z,ALFALFA,7,26N,10W,SW,SW,SW,SE,36.73976078,-98.31520359,1500,80000,NA,NA,ARBUCKLE
3500322710,BCE-MACH LLC,24174,2D,COLUMBIA 36-27-12 SWD,1,1608890013,2016-07-29T00:00:00Z,ALFALFA,36,27N,12W,NW,NW,NW,NW,36.78197,-98.44924,2500,19500,NA,NA,SIMPSON
3500322722,IMPACT ENERGY OPERATING LLC,24185,2D,JACKDAW SWD WELL,1,1401550008,2013-09-18T00:00:00Z,ALFALFA,10,25N,09W,SE,SE,SE,SW,36.65215302,-98.15522,1000,60000,NA,NA,ARBUCKLE
3500322737,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,DIAMONBACK SWD 2710,2-5,1402810005,2013-10-08T00:00:00Z,ALFALFA,5,27N,10W,SE,NE,NE,NE,36.853908,-98.289931,2000,80000,NA,NA,ARBUCKLE
3500322761,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MILA SWD 2610,1-28,1403540075,2014-01-10T00:00:00Z,ALFALFA,28,26N,10W,NE,NE,NE,NW,36.70927219,-98.2808,2000,80000,NA,NA,ARBUCKLE
3500322805,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MARLEY SWD 2511,2-25,1406040003,2014-05-07T00:00:00Z,ALFALFA,25,25N,11W,SW,SE,SW,SW,36.609264,-98.339033,2000,80000,NA,NA,ARBUCKLE
3500322806,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,PHIN SWD 2811,2-11,1404700047,2014-02-13T00:00:00Z,ALFALFA,11,28N,11W,SE,SW,SE,SW,36.91410266,-98.35305959,2000,80000,NA,NA,ARBUCKLE
3500322903,EAGLE EXPLORATION PRODUCTION LLC,23413,CDW,REITZ,2 SWD,1407580021,2014-07-03T00:00:00Z,ALFALFA,10,27N,11W,NW,NE,NE,NE,36.840195,-98.361295,1500,40000,NA,NA,ARBUCKLE
3500322954,AEXCO PETROLEUM INC,17342,2D,MCDANIEL SWD,1-18,1603950059,2016-06-14T00:00:00Z,ALFALFA,18,25N,11W,SE,SW,SW,SW,36.6380465,-98.43099849,2500,10000,NA,NA,WILCOX
3500322973,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,MIGUEL SWD 2611,2-9,634047,2014-12-11T00:00:00Z,ALFALFA,9,26N,11W,NE,NE,NE,SE,36.745704,-98.378524,2000,80000,NA,NA,ARBUCKLE
3500323033,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2D,TATUM ROSE SWD 2710,1-17,1501810018,2014-11-24T00:00:00Z,ALFALFA,17,27N,10W,NW,SE,SW,SE,36.812401,-98.294993,2000,80000,NA,NA,ARBUCKLE
3500323099,BCE-MACH LLC,24174,2D,YELLOW 30-27-10 SWD,1,1503050035,2014-12-04T00:00:00Z,ALFALFA,30,27N,10W,NE,NW,NE,NW,36.853908,-98.3213,2000,80000,NA,NA,ARBUCKLE
3500323183,AMPLIFY OKLAHOMA OPERATING LLC,23079,2D,KELTNER 2512,1-17 SWD,654904,2016-08-02T00:00:00Z,ALFALFA,17,25N,12W,NW,NW,NE,NW,36.65206,-98.51692,2264,19900,NA,NA,"HUNTON, WILCOX"
3500323239,AEXCO PETROLEUM INC,17342,2D,BARNYARD SWD,1-15,1605560019,2016-02-19T00:00:00Z,ALFALFA,15,25N,11W,SW,SW,SW,SW,35.6382,-98.3777,2320,15000,NA,NA,"COTTAGE GROVE, TONKAWA"
3500323263,AEXCO PETROLEUM INC,17342,2D,KEPHART SWD,1-29,1703700037,2016-12-08T00:00:00Z,ALFALFA,29,25N,11W,NW,NW,NW,NE,36.622579,-98.40477,2375,15000,NA,NA,"COTTAGE GROVE, TONKAWA"
3500323264,AMPLIFY OKLAHOMA OPERATING LLC,23079,2D,BAKER 2512,1-28 SWD,1705830122,2017-05-25T00:00:00Z,ALFALFA,28,25N,12W,SW,SW,SE,SE,36.609239,-98.49068,2285,19900,NA,NA,"TONKAWA, COTTAGE GROVE, OSWEGO, HUNTON"
3500323265,AMPLIFY OKLAHOMA OPERATING LLC,23079,2D,NONIE 2412,1-04 SWD,665440,2017-06-29T00:00:00Z,ALFALFA,4,24N,12W,SE,SW,SW,SE,36.57968626,-98.48683851,2250,40000,NA,NA,"ENDICOTT, TONKAWA, COTTAGE GROVE, OSWEGO"
3500323266,AMPLIFY OKLAHOMA OPERATING LLC,23079,2D,GREGORY 2412,1-15 SWD,1704900011,2017-02-28T00:00:00Z,ALFALFA,15,24N,12W,NE,NW,NW,NE,36.563846132,-98.468922803,2300,19900,NA,NA,"ENDICOTT, HUNTON, OSWEGO, WILCOX"
3500323306,TRANS PACIFIC OIL CORPORATION,23435,2D,MOTT A SWDW,1,1905000090,2019-01-07T00:00:00Z,ALFALFA,16,29N,12W,NE,NW,SW,NE,36.994905,-98.497744,275,2500,NA,NA,WELLINGTON
3500323307,TRANS PACIFIC OIL CORPORATION,23435,2D,SCHWARTZ A SWDW,1,1811690002,2018-06-15T00:00:00Z,ALFALFA,27,29N,12W,NW,SE,SW,NE,36.965502,-98.4793,230,2500,NA,NA,WELLINGTON
3500323308,TRANS PACIFIC OIL CORPORATION,23435,2D,FOUR SISTERS A SWDW,1,WAITING ON BEAD AND MATT,2018-06-29T00:00:00Z,ALFALFA,5,28N,12W,SE,NW,SE,NW,36.936964,-98.515741,274,1000,NA,NA,WELLINGTON
3500323314,AEXCO PETROLEUM INC,17342,2D,ANDREE SWD,1-15,1811490005,2018-07-23T00:00:00Z,ALFALFA,15,25N,11W,NE,NE,NW,NE,36.651712137,-98.365651607,2120,1200,NA,NA,"TONKAWA, COTTAGE GROVE"
3500323341,TRANS PACIFIC OIL CORPORATION,23435,2D,STATE OF OKLAHOMA A SWDW,1,1903840037,2018-12-06T00:00:00Z,ALFALFA,33,29N,12W,NW,NE,SW,SW,36.94498,-98.50638,275,1000,NA,NA,WELLINGTON
3500323365,TRANS PACIFIC OIL CORPORATION,23435,2D,LORI A SWDW,1-28,1909960000,2009-05-01T00:00:00Z,ALFALFA,28,29N,12W,NW,SE,SE,NE,36.965565,-98.493063,200,1000,NA,NA,WELLINGTON
3500323372,TRANS PACIFIC OIL CORPORATION,23435,2D,KILMER A,1-13 SWDW,1911420001,2019-07-03T00:00:00Z,ALFALFA,13,29N,12W,SW,NE,NW,SE,36.99201,-98.44268,200,1000,NA,NA,WELLINGTON
3500323388,TRANS PACIFIC OIL CORPORATION,23435,2R,FRIEDEN A SWDW,2-2,2100701304,2020-11-02T00:00:00Z,ALFALFA,2,28N,12W,NE,SW,SE,NW,36.93915,-98.447536,200,1000,NA,NA,WELLINGTON
3500323396,TRANS PACIFIC OIL CORPORATION,23435,2D,KISLING A SWDW,2-32,2101002301,2020-12-04T00:00:00Z,ALFALFA,32,29N,12W,E2,E2,W2,SE,36.94583,-98.51378,148,1000,NA,NA,WELLINGTON
3500323403,TRANS PACIFIC OIL CORPORATION,23435,2D,GRAY A SWDW,2-31,2200101802,2022-03-02T00:00:00Z,ALFALFA,31,29N,12W,NE,SW,NW,SE,36.94756,-98.53401,163,999,NA,NA,WELLINGTON
3500330089,JERRY SANNER OIL PROPERTIES INC,4185,2D,KATHERINE M FRECH,1,78260,1969-12-09T00:00:00Z,ALFALFA,21,24N,11W,NA,C,SE,SW,36.537515,-98.38385,400,800,NA,NA,TONKAWA
3500335244,MT ENERGY LLC,24532,2R,NE CHEROKEE UNIT,14,387086,1994-10-17T00:00:00Z,ALFALFA,21,27N,10W,NA,C,NW,SE,36.802476,-98.27683,2500,1000,NA,NA,BASAL PENN
3500335286,MT ENERGY LLC,24532,2R,NE CHEROKEE UNIT,3,312749,1987-05-26T00:00:00Z,ALFALFA,24,27N,11W,NA,C,SE,NW,36.806113,-98.33542,1500,500,NA,NA,CHEROKEE
3500335292,MT ENERGY LLC,24532,2R,NE CHEROKEE UNIT,66,282612,1985-07-26T00:00:00Z,ALFALFA,25,27N,11W,NA,C,SE,NE,36.791612,-98.3264,2250,1500,NA,NA,RED FORK
